# energy d(up) d(down)
-9.572824384999999836e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.570894384999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.568964385000001016e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.567034385000000896e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.565114384999999686e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.563184385000000987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.561254385000000866e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.559334384999999656e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.557404385000000957e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.555474385000000836e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.553544385000000716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.551624385000000927e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.549694385000000807e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.547764385000000686e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.545844385000000898e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.543914385000000777e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.541984385000000657e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.540054385000000536e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.538134385000000748e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.536204385000000627e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.534274385000000507e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.532354385000000718e+01 0.000000000000000000e+00 -0.000000000000000000e+00
