# energy d(up) d(down)
-9.583332933999999170e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.581432934000000046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.579532933999999500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.577622934000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.575722933999999498e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.573822933999998952e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.571922933999999827e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.570022933999999282e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.568112933999999825e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.566212933999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.564312934000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.562412933999999609e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.560512933999999063e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.558602933999999607e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.556702933999999061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.554802933999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.552902933999999391e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.551002934000000266e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.549092933999999389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.547192934000000264e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.545292933999999718e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.543392933999999173e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.541482933999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.539582933999999170e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.537682934000000046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.535782933999999500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.533882933999998954e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.531972933999999498e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.530072933999998952e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.528172933999999827e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.526272933999999282e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.524372934000000157e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.522462933999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.520562934000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.518662933999999609e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.516762933999999063e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.514862933999999939e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.512952933999999061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.511052933999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
