# energy p(up) p(down)
-9.222608719000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.220718718999999908e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.218828718999999694e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.216938718999999480e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.215048718999999267e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.213158718999999053e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.211268718999998839e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.209378719000000046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.207488718999999833e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.205598718999999619e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.203708718999999405e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.201818718999999192e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.199928718999998978e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.198038719000000185e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.196148718999999971e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.194258718999999758e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.192368718999999544e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.190478718999999330e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.188588718999999116e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.186698718999998903e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.184808719000000110e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.182908718999999564e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.181018718999999351e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.179128718999999137e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.177238718999998923e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.175348719000000131e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.173458718999999917e+01 0.000000000000000000e+00 -0.000000000000000000e+00
